Date,Open,High,Low,Close,Adj Close,Volume
2020-01-07,1.550000,1.750000,1.550000,1.620000,1.620000,307400
2020-01-08,1.670000,1.670000,1.550000,1.610000,1.610000,114400
2020-01-09,1.580000,1.610000,1.550000,1.550000,1.550000,56300
2020-01-10,1.570000,1.680000,1.540000,1.570000,1.570000,72300
2020-01-13,1.550000,1.590000,1.500000,1.520000,1.520000,111700
2020-01-14,1.500000,1.560000,1.500000,1.540000,1.540000,70400
2020-01-15,1.560000,1.600000,1.520000,1.530000,1.530000,88000
2020-01-16,1.520000,1.560000,1.460000,1.520000,1.520000,95400
2020-01-17,1.520000,1.530000,1.500000,1.530000,1.530000,67700
2020-01-21,1.540000,1.540000,1.490000,1.510000,1.510000,68500
2020-01-22,1.510000,1.510000,1.460000,1.500000,1.500000,63500
2020-01-23,1.460000,1.510000,1.460000,1.510000,1.510000,55100
2020-01-24,1.530000,1.570000,1.530000,1.550000,1.550000,58000
2020-01-27,1.510000,1.550000,1.510000,1.540000,1.540000,90300
2020-01-28,1.530000,1.550000,1.510000,1.540000,1.540000,54300
2020-01-29,1.520000,1.530000,1.490000,1.490000,1.490000,32900
2020-01-30,1.460000,1.500000,1.400000,1.440000,1.440000,117000
2020-01-31,1.450000,1.540000,1.400000,1.480000,1.480000,105600
2020-02-03,1.480000,1.520000,1.450000,1.460000,1.460000,37200
2020-02-04,1.480000,1.510000,1.470000,1.470000,1.470000,18500
2020-02-05,1.500000,1.530000,1.470000,1.520000,1.520000,38000
2020-02-06,1.530000,1.530000,1.490000,1.500000,1.500000,26500
2020-02-07,1.490000,1.540000,1.490000,1.500000,1.500000,18500
2020-02-10,1.510000,1.520000,1.450000,1.450000,1.450000,73600
2020-02-11,1.460000,1.460000,1.350000,1.400000,1.400000,122200
2020-02-12,1.400000,1.450000,1.380000,1.400000,1.400000,46800
2020-02-13,1.370000,1.400000,1.360000,1.400000,1.400000,32800
2020-02-14,1.400000,1.400000,1.300000,1.380000,1.380000,132500
2020-02-18,1.340000,1.390000,1.340000,1.370000,1.370000,38000
2020-02-19,1.350000,1.400000,1.310000,1.360000,1.360000,45200
2020-02-20,1.370000,1.450000,1.360000,1.400000,1.400000,58000
2020-02-21,1.420000,1.430000,1.350000,1.380000,1.380000,42200
2020-02-24,1.310000,1.330000,1.300000,1.330000,1.330000,52900
2020-02-25,1.300000,1.330000,1.210000,1.240000,1.240000,94600
2020-02-26,1.210000,1.470000,1.210000,1.280000,1.280000,123400
2020-02-27,1.210000,1.330000,1.210000,1.290000,1.290000,78700
2020-02-28,1.200000,1.260000,1.200000,1.210000,1.210000,118900
2020-03-02,1.310000,1.310000,1.200000,1.230000,1.230000,54800
2020-03-03,1.250000,1.280000,1.250000,1.260000,1.260000,28800
2020-03-04,1.290000,1.290000,1.210000,1.210000,1.210000,50600
2020-03-05,1.210000,1.260000,1.210000,1.230000,1.230000,29300
2020-03-06,1.220000,1.220000,1.170000,1.180000,1.180000,64400
2020-03-09,1.150000,1.160000,1.060000,1.100000,1.100000,90900
2020-03-10,1.100000,1.110000,1.010000,1.050000,1.050000,164000
2020-03-11,0.830000,0.990000,0.820000,0.880000,0.880000,309000
2020-03-12,0.850000,0.850000,0.760000,0.820000,0.820000,149100
2020-03-13,0.900000,0.940000,0.820000,0.910000,0.910000,218700
2020-03-16,0.790000,0.910000,0.780000,0.790000,0.790000,135800
2020-03-17,0.890000,0.890000,0.810000,0.830000,0.830000,53100
2020-03-18,0.830000,0.900000,0.800000,0.830000,0.830000,87200
2020-03-19,0.860000,0.860000,0.790000,0.830000,0.830000,68200
2020-03-20,0.820000,0.950000,0.820000,0.880000,0.880000,128800
2020-03-23,0.930000,0.940000,0.830000,0.910000,0.910000,55000
2020-03-24,0.920000,0.940000,0.900000,0.940000,0.940000,111700
2020-03-25,0.940000,1.090000,0.930000,1.030000,1.030000,100200
2020-03-26,1.020000,1.150000,1.020000,1.100000,1.100000,132100
2020-03-27,1.100000,1.130000,1.000000,1.040000,1.040000,51000
2020-03-30,1.130000,1.500000,1.130000,1.180000,1.180000,824400
2020-03-31,1.240000,1.370000,1.200000,1.330000,1.330000,262300
2020-04-01,1.390000,1.390000,1.190000,1.200000,1.200000,107000
2020-04-02,1.240000,1.240000,1.090000,1.180000,1.180000,113500
2020-04-03,1.170000,1.170000,1.000000,1.040000,1.040000,137600
2020-04-06,1.090000,2.110000,1.010000,1.500000,1.500000,6579000
2020-04-07,1.450000,1.550000,1.300000,1.500000,1.500000,1048300
2020-04-08,1.500000,1.620000,1.400000,1.580000,1.580000,272800
2020-04-09,1.640000,1.650000,1.450000,1.480000,1.480000,258300
2020-04-13,1.480000,1.560000,1.450000,1.540000,1.540000,150700
2020-04-14,1.540000,1.570000,1.490000,1.540000,1.540000,89200
2020-04-15,1.530000,1.550000,1.490000,1.530000,1.530000,67700
2020-04-16,3.000000,3.110000,2.000000,2.110000,2.110000,15127100
2020-04-17,1.950000,2.100000,1.770000,2.070000,2.070000,1169900
2020-04-20,2.040000,2.280000,2.030000,2.150000,2.150000,1278400
2020-04-21,2.180000,2.200000,1.910000,2.120000,2.120000,544300
2020-04-22,2.120000,2.120000,2.000000,2.120000,2.120000,232800
2020-04-23,2.070000,2.220000,2.070000,2.100000,2.100000,331700
2020-04-24,2.100000,2.200000,2.070000,2.180000,2.180000,372700
2020-04-27,2.300000,2.470000,2.200000,2.280000,2.280000,757600
2020-04-28,2.320000,2.320000,2.170000,2.220000,2.220000,213200
2020-04-29,2.170000,2.240000,2.110000,2.210000,2.210000,184500
2020-04-30,2.110000,2.210000,2.090000,2.180000,2.180000,207200
2020-05-01,2.150000,2.200000,1.960000,2.100000,2.100000,210800
2020-05-04,2.040000,2.100000,2.030000,2.090000,2.090000,56900
2020-05-05,2.050000,2.090000,1.950000,1.950000,1.950000,192000
2020-05-06,1.940000,2.010000,1.910000,1.930000,1.930000,92600
2020-05-07,1.650000,1.890000,1.480000,1.660000,1.660000,1013000
2020-05-08,1.590000,1.650000,1.570000,1.640000,1.640000,219400
2020-05-11,1.600000,1.700000,1.600000,1.630000,1.630000,241600
2020-05-12,1.600000,1.700000,1.520000,1.630000,1.630000,239700
2020-05-13,1.630000,1.670000,1.480000,1.550000,1.550000,296000
2020-05-14,1.520000,1.900000,1.450000,1.770000,1.770000,746600
2020-05-15,1.720000,1.780000,1.650000,1.700000,1.700000,253700
2020-05-18,1.640000,1.810000,1.600000,1.810000,1.810000,296000
2020-05-19,1.800000,1.840000,1.670000,1.750000,1.750000,148400
2020-05-20,1.760000,2.680000,1.760000,2.200000,2.200000,8792700
2020-05-21,2.240000,2.440000,2.120000,2.380000,2.380000,1419800
2020-05-22,2.370000,2.470000,2.250000,2.310000,2.310000,755800
2020-05-26,2.410000,2.430000,2.280000,2.300000,2.300000,450700
2020-05-27,2.300000,2.320000,2.150000,2.190000,2.190000,281200
2020-05-28,2.180000,2.550000,2.180000,2.270000,2.270000,1571200
2020-05-29,2.300000,2.400000,2.250000,2.380000,2.380000,452700
2020-06-01,2.450000,2.520000,2.360000,2.460000,2.460000,405800
2020-06-02,2.540000,2.550000,2.360000,2.520000,2.520000,490800
2020-06-03,2.630000,2.780000,2.580000,2.730000,2.730000,796400
2020-06-04,2.650000,2.700000,2.530000,2.670000,2.670000,472300
2020-06-05,2.680000,3.480000,2.540000,3.360000,3.360000,2964400
2020-06-08,3.120000,3.270000,3.000000,3.180000,3.180000,831700
2020-06-09,3.230000,3.250000,3.080000,3.190000,3.190000,376400
2020-06-10,3.220000,3.250000,3.110000,3.180000,3.180000,339300
2020-06-11,3.070000,3.300000,2.920000,3.080000,3.080000,676000
2020-06-12,3.170000,3.180000,2.850000,3.080000,3.080000,534300
2020-06-15,3.010000,3.160000,2.900000,3.060000,3.060000,330500
2020-06-16,3.100000,3.110000,2.860000,3.000000,3.000000,760900
2020-06-17,3.040000,3.260000,2.970000,3.090000,3.090000,494000
2020-06-18,3.080000,3.210000,3.050000,3.050000,3.050000,238400
2020-06-19,3.050000,3.280000,2.960000,3.180000,3.180000,873200
2020-06-22,3.480000,4.270000,3.280000,3.650000,3.650000,2961700
2020-06-23,3.740000,3.890000,3.470000,3.620000,3.620000,714800
2020-06-24,3.630000,4.140000,3.630000,4.050000,4.050000,1276700
2020-06-25,4.170000,4.170000,3.930000,4.040000,4.040000,614800
2020-06-26,4.050000,4.090000,3.860000,3.980000,3.980000,457400
2020-06-29,4.050000,4.050000,3.630000,3.930000,3.930000,537300
2020-06-30,3.900000,3.900000,3.700000,3.800000,3.800000,464200
2020-07-01,3.780000,3.910000,3.710000,3.830000,3.830000,194000
2020-07-02,3.870000,3.900000,3.700000,3.720000,3.720000,314300
2020-07-06,3.660000,3.670000,3.220000,3.380000,3.380000,548800
2020-07-07,3.350000,3.640000,3.330000,3.500000,3.500000,244900
2020-07-08,3.470000,3.790000,3.470000,3.650000,3.650000,293600
2020-07-09,3.700000,3.800000,3.570000,3.710000,3.710000,210100
2020-07-10,3.700000,3.750000,3.570000,3.690000,3.690000,207400
2020-07-13,3.590000,3.630000,3.340000,3.360000,3.360000,453800
2020-07-14,3.450000,3.620000,3.310000,3.570000,3.570000,279300
2020-07-15,3.640000,4.690000,3.570000,3.960000,3.960000,3477300
2020-07-16,4.200000,4.290000,3.860000,4.000000,4.000000,2229500
2020-07-17,4.390000,4.550000,4.070000,4.240000,4.240000,3484400
2020-07-20,4.250000,4.370000,3.900000,4.020000,4.020000,1110800
2020-07-21,4.000000,4.000000,3.690000,3.700000,3.700000,993900
2020-07-22,4.000000,4.190000,3.900000,4.150000,4.150000,1745700
2020-07-23,4.020000,4.100000,3.840000,3.870000,3.870000,626300
2020-07-24,3.920000,3.990000,3.770000,3.840000,3.840000,377700
2020-07-27,3.850000,3.960000,3.800000,3.900000,3.900000,380200
2020-07-28,3.880000,4.100000,3.770000,3.970000,3.970000,1261600
2020-07-29,4.000000,4.400000,3.880000,4.350000,4.350000,1423300
2020-07-30,4.390000,4.870000,3.810000,3.960000,3.960000,2193000
2020-07-31,3.850000,3.900000,3.700000,3.780000,3.780000,667800
2020-08-03,3.780000,5.080000,3.780000,4.010000,4.010000,3773700
2020-08-04,3.930000,3.970000,3.810000,3.870000,3.870000,623900
2020-08-05,3.870000,3.920000,3.830000,3.880000,3.880000,221900
2020-08-06,3.850000,4.030000,3.840000,3.860000,3.860000,509500
2020-08-07,3.880000,3.890000,3.750000,3.830000,3.830000,321600
2020-08-10,3.850000,3.990000,3.760000,3.970000,3.970000,714600
2020-08-11,3.910000,3.930000,3.750000,3.780000,3.780000,412900
2020-08-12,3.800000,3.850000,3.590000,3.600000,3.600000,501300
2020-08-13,3.650000,3.730000,3.350000,3.390000,3.390000,524600
2020-08-14,3.420000,3.850000,3.360000,3.710000,3.710000,1512400
2020-08-17,3.710000,4.040000,3.610000,3.710000,3.710000,749800
2020-08-18,3.660000,3.770000,3.650000,3.710000,3.710000,270800
2020-08-19,3.690000,3.710000,3.600000,3.640000,3.640000,198800
2020-08-20,3.610000,3.620000,3.400000,3.450000,3.450000,326600
2020-08-21,3.400000,3.420000,3.310000,3.380000,3.380000,287500
2020-08-24,3.280000,3.280000,2.830000,3.020000,3.020000,1219600
2020-08-25,2.980000,3.150000,2.930000,3.090000,3.090000,213500
2020-08-26,3.050000,3.110000,2.910000,2.940000,2.940000,218900
2020-08-27,2.900000,2.910000,2.550000,2.600000,2.600000,769700
2020-08-28,2.650000,2.670000,2.560000,2.630000,2.630000,118800
2020-08-31,2.580000,2.660000,2.420000,2.550000,2.550000,267000
2020-09-01,2.540000,2.950000,2.360000,2.510000,2.510000,1078900
2020-09-02,2.480000,2.500000,2.220000,2.300000,2.300000,540000
2020-09-03,2.330000,2.330000,2.210000,2.230000,2.230000,215600
2020-09-04,2.210000,2.230000,1.830000,2.070000,2.070000,393700
2020-09-08,1.980000,2.210000,1.980000,2.150000,2.150000,255600
2020-09-09,2.180000,2.270000,2.080000,2.090000,2.090000,180100
2020-09-10,2.090000,2.120000,2.030000,2.050000,2.050000,152700
2020-09-11,2.050000,2.090000,1.930000,1.980000,1.980000,148400
2020-09-14,2.030000,2.240000,2.030000,2.190000,2.190000,188700
2020-09-15,2.250000,2.350000,2.200000,2.330000,2.330000,176800
2020-09-16,2.280000,2.420000,2.200000,2.250000,2.250000,212200
2020-09-17,2.390000,2.730000,2.310000,2.320000,2.320000,1814500
2020-09-18,2.320000,2.550000,2.320000,2.440000,2.440000,395800
2020-09-21,2.440000,2.460000,2.300000,2.420000,2.420000,256900
2020-09-22,2.430000,2.460000,2.320000,2.350000,2.350000,198500
2020-09-23,2.340000,2.580000,2.340000,2.400000,2.400000,240600
2020-09-24,2.360000,2.370000,2.220000,2.310000,2.310000,174700
2020-09-25,2.310000,2.470000,2.310000,2.420000,2.420000,181700
2020-09-28,2.350000,2.440000,2.330000,2.360000,2.360000,134000
2020-09-29,2.350000,2.640000,2.350000,2.520000,2.520000,308500
2020-09-30,2.510000,2.600000,2.410000,2.420000,2.420000,134400
2020-10-01,2.420000,2.550000,2.420000,2.430000,2.430000,141000
2020-10-02,2.400000,2.490000,2.350000,2.400000,2.400000,110600
2020-10-05,2.440000,2.440000,2.260000,2.300000,2.300000,155400
2020-10-06,2.310000,2.360000,2.190000,2.260000,2.260000,156400
2020-10-07,2.250000,2.400000,2.240000,2.340000,2.340000,111800
2020-10-08,2.350000,2.470000,2.330000,2.360000,2.360000,135200
2020-10-09,2.410000,2.410000,2.310000,2.330000,2.330000,72400
2020-10-12,2.350000,2.370000,2.230000,2.250000,2.250000,87000
2020-10-13,2.240000,2.370000,2.230000,2.330000,2.330000,83700
2020-10-14,2.330000,2.380000,2.180000,2.180000,2.180000,175700
2020-10-15,2.150000,2.180000,2.030000,2.180000,2.180000,184700
2020-10-16,2.180000,2.200000,2.070000,2.110000,2.110000,94500
2020-10-19,2.160000,2.270000,1.960000,2.000000,2.000000,487400
