time;open;high;low;close;Volume;Kolonne1
2021-06-28 22:00;26875;26886;26872;26876;3884;
2021-06-29 12:00;26895;26895;26895;26895;100;
2021-06-29 14:00;26845;26988;268;26937;134052;
2021-06-29 16:00;26949;26993;269;26983;255873;
2021-06-29 18:00;26985;27114;26976;27111;264398;
2021-06-29 20:00;27113;27165;27106;27148;408178;
2021-06-29 22:00;27098;27113;27098;27113;200;
2021-06-30 14:00;27094;271;26993;2702;127716;
2021-06-30 16:00;27021;27135;27007;27027;237091;
2021-06-30 18:00;27027;27061;26961;27046;171753;
2021-06-30 20:00;27048;27128;27017;27085;429707;
2021-06-30 22:00;27091;271;27091;27094;2384;
2021-07-01 12:00;27058;27058;27058;27058;602;
2021-07-01 14:00;26982;27086;26964;27081;153632;
2021-07-01 16:00;27076;27112;26996;27054;252976;
2021-07-01 18:00;27056;27083;2701;2706;144249;
2021-07-01 20:00;2706;2718;27051;27172;338268;
2021-07-01 22:00;27168;2717;27159;27159;400;
2021-07-02 14:00;27261;27517;2725;27474;289281;
2021-07-02 16:00;27475;27648;274435;27615;349518;
2021-07-02 18:00;27616;27714;27612;2771;327825;
2021-07-02 20:00;27711;278;27681;27774;583702;
2021-07-02 22:00;27741;27762;27741;27762;300;
2021-07-06 12:00;27838;27855;27838;2785;400;
2021-07-06 14:00;27825;2792;27764;27815;229211;
2021-07-06 16:00;2782;27934;27706;27738;439955;
2021-07-06 18:00;27737;27754;27435;27619;424467;
2021-07-06 20:00;27617;27773;27614;27761;409334;
2021-07-06 22:00;27763;27764;27763;27764;208;
2021-07-07 12:00;2792;2792;2792;2792;2637;
2021-07-07 14:00;27867;27992;27814;27915;173046;
2021-07-07 16:00;2791;2805;27813;27967;481685;
2021-07-07 18:00;27971;28023;27936;27987;257871;
2021-07-07 20:00;27997;28069;27971;28005;397492;
2021-07-08 00:00;28023;28035;28023;28035;600;
2021-07-08 12:00;27739;27739;27639;2764;1348;
2021-07-08 14:00;27616;27872;27525;27765;277636;
2021-07-08 16:00;27763;27791;27487;27736;466684;
2021-07-08 18:00;2774;2782;27693;27803;217604;
2021-07-08 20:00;27804;27812;27665;2775;480405;
2021-07-08 22:00;27752;27756;27748;27748;3021;
2021-07-09 12:00;2765;2765;27649;27649;200;
2021-07-09 14:00;27655;27692;27533;27646;187900;
2021-07-09 16:00;27653;27769;27532;27726;404792;
2021-07-09 18:00;2773;27787;27709;27736;260374;
2021-07-09 20:00;27737;27799;27699;27788;443262;
2021-07-09 22:00;27774;27802;27774;27802;2177;
2021-07-12 12:00;2789;2789;2789;2789;100;
2021-07-12 14:00;27935;27973;27764;27792;160329;
2021-07-12 16:00;27793;27796;27677;27722;267699;
2021-07-12 18:00;27725;27745;2766;27732;151210;
2021-07-12 20:00;27735;27793;27696;27735;341885;
2021-07-12 22:00;27749;27749;2774;2774;600;
2021-07-13 12:00;27847;27847;27847;27847;819;
2021-07-13 14:00;27692;28056;27656;28045;154326;
2021-07-13 16:00;28052;28283;28051;28245;450714;
2021-07-13 18:00;28244;28247;27995;28042;323486;
2021-07-13 20:00;28036;28138;27961;28103;454208;
2021-07-14 12:00;28192;28192;28192;28192;100;
2021-07-14 14:00;28203;28271;28058;28212;153381;
2021-07-14 16:00;28227;28365;28167;28169;364470;
2021-07-14 18:00;28168;28304;28168;28224;192011;
2021-07-14 20:00;28233;28349;28225;28256;504824;
2021-07-14 22:00;282755;2828;2826;28263;3785;
2021-07-15 00:00;28241;28241;28241;28241;300;
2021-07-15 12:00;2827;2827;28195;28241;1599;
2021-07-15 14:00;282;2825;28088;28174;128503;
2021-07-15 16:00;28178;28182;27985;28073;367879;
2021-07-15 18:00;28075;28199;28014;28037;287926;
2021-07-15 20:00;28036;2813;280195;28109;404623;
2021-07-15 22:00;28097;28101;28097;28101;200;
2021-07-16 14:00;28169;28409;28169;28271;263649;
2021-07-16 16:00;28278;28308;27946;28037;389158;
2021-07-16 18:00;28036;28269;28034;282255;392813;
2021-07-16 20:00;28225;28229;28063;28075;360353;
2021-07-16 22:00;28084;28084;28077;2808;688;
2021-07-19 12:00;27985;27985;27862;27899;815;
2021-07-19 14:00;279;28024;27788;27864;244062;
2021-07-19 16:00;27863;27915;27524;27657;449886;
2021-07-19 18:00;27654;27694;27543;27592;246997;
2021-07-19 20:00;27587;27717;27583;27707;471917;
2021-07-19 22:00;2771;27799;2771;27799;676;
2021-07-20 12:00;27851;27851;27851;27851;100;
2021-07-20 14:00;2781;2783;27626;27774;104963;
2021-07-20 16:00;27773;27878;276545;27875;293498;
2021-07-20 18:00;27874;28018;27871;27939;256967;
2021-07-20 20:00;27937;28096;27915;27932;388405;
2021-07-21 12:00;27931;27931;2785;2785;400;
2021-07-21 14:00;27889;28008;278155;28002;151553;
2021-07-21 16:00;27998;28096;27949;2806;325201;
2021-07-21 18:00;28063;28066;27946;28042;241056;
2021-07-21 20:00;2804;28152;28008;28137;446179;
2021-07-21 22:00;28143;28143;28143;28143;500;
2021-07-22 12:00;28389;2842;28379;2842;700;
2021-07-22 14:00;284;28604;28344;28528;199535;
2021-07-22 16:00;28524;2864;28478;28535;344183;
2021-07-22 18:00;28539;2854;28449;28497;204112;
2021-07-22 20:00;28498;28642;2849;28616;395289;
2021-07-22 22:00;286;2874;286;2874;1700;
2021-07-23 12:00;28795;28795;2878;28785;740;
2021-07-23 14:00;28794;28852;28658;288;140140;
2021-07-23 16:00;28799;289675;28786;28928;352708;
2021-07-23 18:00;28928;28987;28889;28936;233165;
2021-07-23 20:00;28933;28999;28861;28971;382124;
2021-07-23 22:00;28962;28962;28953;28953;436;
2021-07-26 12:00;28976;29021;28976;29021;670;
2021-07-26 14:00;28948;28948;28668;28804;101646;
2021-07-26 16:00;28804;28854;28666;28854;202593;
2021-07-26 18:00;28853;28936;28814;28884;132237;
2021-07-26 20:00;28885;28969;28857;2891;287273;
2021-07-26 22:00;28905;2893;28905;2893;800;
2021-07-27 12:00;28977;28977;28955;28955;200;
2021-07-27 14:00;2896;28965;28776;28864;95420;
2021-07-27 16:00;28859;28877;28386;28512;369183;
